"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 12:22:29 GMT 2024","Mon Feb 19 12:22:37 GMT 2024","8349","Default Suite","OpenWeatherJava","MainTest","MainTest","testVerifySearchButtonShowsCorrespondingResults","testVerifySearchButtonShowsCorrespondingResults",""
"passed","Mon Feb 19 12:22:38 GMT 2024","Mon Feb 19 12:22:40 GMT 2024","1987","Default Suite","OpenWeatherJava","MainTest","MainTest","testVerifySectionContentIsDisplayed","testVerifySectionContentIsDisplayed",""
"passed","Mon Feb 19 12:21:54 GMT 2024","Mon Feb 19 12:22:01 GMT 2024","7730","Default Suite","OpenWeatherJava","MainTest","MainTest","testVerifySearchButtonEmptySearch","testVerifySearchButtonEmptySearch",""
"passed","Mon Feb 19 12:15:18 GMT 2024","Mon Feb 19 12:15:28 GMT 2024","10012","Default Suite","OpenWeatherJava","MainTest","MainTest","testErrorWidgetCloses","testErrorWidgetCloses",""
"passed","Mon Feb 19 12:15:28 GMT 2024","Mon Feb 19 12:15:37 GMT 2024","8338","Default Suite","OpenWeatherJava","MainTest","MainTest","testFaqIsClickable","testFaqIsClickable",""
"passed","Mon Feb 19 12:20:18 GMT 2024","Mon Feb 19 12:20:27 GMT 2024","8251","Default Suite","OpenWeatherJava","MainTest","MainTest","testPlaceholderIsClickable","testPlaceholderIsClickable",""
"passed","Mon Feb 19 12:16:40 GMT 2024","Mon Feb 19 12:16:48 GMT 2024","7761","Default Suite","OpenWeatherJava","MainTest","MainTest","testNamesOfElementsInDesktopMenu","testNamesOfElementsInDesktopMenu",""
"passed","Mon Feb 19 12:21:04 GMT 2024","Mon Feb 19 12:21:12 GMT 2024","8183","Default Suite","OpenWeatherJava","MainTest","MainTest","testUnitsSwitcher","testUnitsSwitcher",""
"passed","Mon Feb 19 12:21:33 GMT 2024","Mon Feb 19 12:21:35 GMT 2024","1921","Default Suite","OpenWeatherJava","MainTest","MainTest","testVerifyHeader","testVerifyHeader",""
"passed","Mon Feb 19 12:21:13 GMT 2024","Mon Feb 19 12:21:21 GMT 2024","8331","Default Suite","OpenWeatherJava","MainTest","MainTest","testUnitsSwitcherChangesCurrentWeather","testUnitsSwitcherChangesCurrentWeather",""
"passed","Mon Feb 19 12:20:36 GMT 2024","Mon Feb 19 12:20:44 GMT 2024","8161","Default Suite","OpenWeatherJava","MainTest","MainTest","testPricingIsClickable","testPricingIsClickable",""
"passed","Mon Feb 19 12:15:09 GMT 2024","Mon Feb 19 12:15:17 GMT 2024","8328","Default Suite","OpenWeatherJava","MainTest","MainTest","testDifferentWeatherPopupOpensAndCloses","testDifferentWeatherPopupOpensAndCloses",""
"passed","Mon Feb 19 12:20:54 GMT 2024","Mon Feb 19 12:21:03 GMT 2024","8897","Default Suite","OpenWeatherJava","MainTest","MainTest","testURLAndTitle","testURLAndTitle",""
"passed","Mon Feb 19 12:20:27 GMT 2024","Mon Feb 19 12:20:35 GMT 2024","7768","Default Suite","OpenWeatherJava","MainTest","MainTest","testPlaceholderIsDisplayed","testPlaceholderIsDisplayed",""
"passed","Mon Feb 19 12:16:04 GMT 2024","Mon Feb 19 12:16:12 GMT 2024","8242","Default Suite","OpenWeatherJava","MainTest","MainTest","testLogoIsClickable","testLogoIsClickable",""
"passed","Mon Feb 19 12:16:13 GMT 2024","Mon Feb 19 12:16:21 GMT 2024","7797","Default Suite","OpenWeatherJava","MainTest","MainTest","testLogoIsDisplayed","testLogoIsDisplayed",""
"broken","Mon Feb 19 12:16:48 GMT 2024","Mon Feb 19 12:19:48 GMT 2024","180004","Default Suite","OpenWeatherJava","MainTest","MainTest","testOurInitiativesIsClickable","testOurInitiativesIsClickable",""
"passed","Mon Feb 19 12:20:44 GMT 2024","Mon Feb 19 12:20:53 GMT 2024","8737","Default Suite","OpenWeatherJava","MainTest","MainTest","testSignInIsClickable","testSignInIsClickable",""
"passed","Mon Feb 19 12:15:37 GMT 2024","Mon Feb 19 12:15:46 GMT 2024","8824","Default Suite","OpenWeatherJava","MainTest","MainTest","testForBusinessIsClickable","testForBusinessIsClickable",""
"passed","Mon Feb 19 12:20:10 GMT 2024","Mon Feb 19 12:20:18 GMT 2024","8222","Default Suite","OpenWeatherJava","MainTest","MainTest","testPartnersIsClickable","testPartnersIsClickable",""
"passed","Mon Feb 19 12:21:36 GMT 2024","Mon Feb 19 12:21:43 GMT 2024","7721","Default Suite","OpenWeatherJava","MainTest","MainTest","testVerifySearchBlockPlaceholder","testVerifySearchBlockPlaceholder",""
"broken","Mon Feb 19 12:20:54 GMT 2024","Mon Feb 19 12:20:54 GMT 2024","266","Default Suite","OpenWeatherJava","MainTest","MainTest","testSupportIsClickableAndHasThreeSubmenus","testSupportIsClickableAndHasThreeSubmenus",""
"passed","Mon Feb 19 12:21:44 GMT 2024","Mon Feb 19 12:21:53 GMT 2024","9018","Default Suite","OpenWeatherJava","MainTest","MainTest","testVerifySearchButtonChangesTheLocationShown","testVerifySearchButtonChangesTheLocationShown",""
"passed","Mon Feb 19 12:14:51 GMT 2024","Mon Feb 19 12:15:00 GMT 2024","8849","Default Suite","OpenWeatherJava","MainTest","MainTest","testBlogIsClickable","testBlogIsClickable",""
"passed","Mon Feb 19 12:15:00 GMT 2024","Mon Feb 19 12:15:08 GMT 2024","8223","Default Suite","OpenWeatherJava","MainTest","MainTest","testDashboardIsClickable","testDashboardIsClickable",""
"passed","Mon Feb 19 12:15:55 GMT 2024","Mon Feb 19 12:16:04 GMT 2024","8359","Default Suite","OpenWeatherJava","MainTest","MainTest","testHowToStartIsClickable","testHowToStartIsClickable",""
"passed","Mon Feb 19 12:14:31 GMT 2024","Mon Feb 19 12:14:40 GMT 2024","8945","Default Suite","OpenWeatherJava","MainTest","MainTest","testApiIsClickable","testApiIsClickable",""
